제조사,비행기모델,ICAO CODE,IATA CODE,비행기구분,비행기크기,CLASS,엔진타입,엔진수,최초운항일,생산수량,단가,상태,조종석수,승객수,길이(m),높이(m),운송범위(km)
AIRBUS,A-319neo,A19N,31N,LandPlane,MEDIUM,Narrow-body twin-engine jet airliner,Jet,2,2014-12-25,1306,101.5,서비스중,2,140,33.8,11.8,6950
AIRBUS,A-320neo,A20N,32N,LandPlane,MEDIUM,Narrow-body twin-engine jet airliner,Jet,2,2014-12-25,,110.6,서비스중,2,165,37.6,11.8,6500
AIRBUS,A-321neo,A21N,32Q,LandPlane,MEDIUM,Narrow-body twin-engine jet airliner,Jet,2,2014-12-25,,129.5,서비스중,2,206,44.5,11.8,7400
AQUILA,A-210,A210,,LandPlane,LOW,Two seat light aircraft,Piston,1,2000-03-05,120,0.1,서비스중,2,,7.3,2.3,1148
ANTONOV,An-225 Mriya,A225,A5F,LandPlane,HIGH,Outsize cargo freight aircraft,Jet,6,1988-12-21,1,,서비스중,6,,84,18.1,4000
AIRBUS,"A-300B2, A-300B4, and A-300C4",A30B,AB4,LandPlane,HIGH,Wide-body jet airliner,Jet,2,1974-04-15,,,서비스중,3,281,53.6,16.7,5375
AIRBUS,A-318,A318,318,LandPlane,MEDIUM,Narrow-bodyjet airliner,Jet,2,2002-01-15,80,77.4,서비스중,2,132,31.4,12.6,5740
AIRBUS,A-319,A319,319,LandPlane,MEDIUM,Narrow-bodyjet airliner,Jet,2,1995-08-25,1482,89.6,서비스중,2,156,33.8,11.8,6940
AIRBUS,A-320,A320,320,LandPlane,MEDIUM,Single-aislejet airliner,Jet,2,1987-02-22,9373,101,서비스중,2,186,37.6,12.6,6945
AIRBUS,A-321,A321,321,LandPlane,MEDIUM,Narrow-bodyjet airliner,Jet,2,1993-03-11,2088,115,서비스중,2,185,44.5,11.8,5930
AIRBUS,A-330-200,A332,332,LandPlane,HIGH,Wide-bodyjet airliner,Jet,2,1992-11-02,680,238.5,서비스중,2,406,58.8,17.4,13450
AIRBUS,A-330-300,A333,333,LandPlane,HIGH,Wide-bodyjet airliner,Jet,2,1992-11-02,771,264.2,서비스중,2,440,63.7,16.8,11750
AIRBUS,A-330-700 Beluga XL,A337,,LandPlane,HIGH,Outsize cargofreight aircraft,Jet,2,2018-07-19,5,1133,서비스중,2,,63.1,18.9,4300
AIRBUS,A-330-800neo,A338,338,LandPlane,HIGH,Wide-bodyjet airliner,Jet,2,2017-10-19,4,259.9,서비스중,2,406,58.8,17.4,15094
AIRBUS,A-330-900neo,A339,339,LandPlane,HIGH,Wide-bodyjet airliner,Jet,2,2017-10-19,42,296.4,서비스중,2,440,63.7,16.8,13334
AIRBUS,A-340-200,A342,342,LandPlane,HIGH,Wide-bodyjet airliner,Jet,4,1991-10-25,13500,105,서비스중,2,303,59.4,17,12400
AIRBUS,A-340-300,A343,343,LandPlane,HIGH,Wide-bodyjet airliner,Jet,4,1991-10-25,218,238,서비스중,2,335,63.7,17,13500
